report,report_id,rows,indicators,regions,period_min,period_max
36大中城市居民消费价格分类指数(上年同月=100)(2016-),fe8a37fc8fcf43c5b46fb8b963df3fce,9110,4,37,2010-01,2026-07
全社会客货运输量,8a99e1275911489a8fff20e6d957b8fc,2240,20,1,2010-01,2026-07
分城乡居民消费和商品零售价格指数,931af70ad1d44c59961c11b36cbd20c3,448,4,1,2010-01,2019-12
分行业主要工业经济指标,5d2a065dafca4dc3a2418f985a8498a0,50797,546,1,2010-02,2026-06
各地区住宅开发规模与开、竣工面积增长情况,5611bf43a1c44a7bb9fba63b26b01bca,11144,12,32,2010-02,2026-07
各地区住宅销售面积增长情况,096959d7ab744310b1b9768c485586e0,3342,4,32,2010-02,2026-07
各地区办公楼开发规模与开、竣工面积增长情况,9adb28f820594498ad62ab79d6f1294f,10840,12,32,2010-02,2026-07
各地区商业营业用房开发规模与开、竣工面积增长情况,a9634fad6eb54ba381c8391ece93656b,10158,12,32,2010-02,2026-07
各地区商品房销售面积增长情况,966d64c02ebe4546901722e7c478372b,4590,4,32,2010-02,2026-07
各地区固定资产住宅建设情况,c0e42ef5d154439787118863b5499f9a,10714,15,32,2010-02,2026-07
各地区固定资产投资构成情况,3dc4f41645b34c9ca393ca8e41dfe325,20625,20,32,2010-02,2026-07
各地区固定资产投资（不含农户）,72375b5a0dcf421e8fddbb51fd3a0192,5478,5,32,2010-02,2026-07
各地区工业增加值增长速度,44e3145d24bc4e7ca09eef6023a2aa2f,3808,1,32,2010-02,2026-07
各地区工业生产者价格指数(上年同月=100),172323faf5fc4f058025f4c35d275996,4530,1,32,2010-01,2026-07
各地区房地产开发投资情况,01e95051738d45cb910220aea38b0b4b,9502,8,32,2010-02,2026-07
各地区房地产开发规模与开、竣工面积增长情况,fddac2a23f1445f69a0249de40a27df7,10369,12,32,2010-02,2026-07
各地居民消费价格分类指数(上年同月=100)(2016-),ed394720e6a04fbb96fbe62d69158d12,8640,2,32,2010-01,2026-07
各地居民消费和商品零售价格指数,d47996b3e8e64530adf2b359bdb79940,6208,2,32,2010-01,2020-12
各月日本居民消费价格涨跌率、失业率和进出口贸易,de315dd6344b47849cfc482e7c38cb0f,397,5,1,2010-01,2026-06
各月欧元区居民消费价格涨跌率、失业率和进出口贸易,200bbfbeb96549ffbe4484dd2fce950a,537,5,1,2010-01,2026-04
各月美国居民消费价格涨跌率、失业率和进出口贸易,418768913d444289b2e3fd0d76ffaf49,359,5,1,2010-01,2026-06
各行业固定资产投资(不含农户),fd437ae9c8bc4e2b874c00f2176404f6,12625,75,1,2010-02,2026-07
固定资产投资资金来源情况,9a13161a5f674334a68fb22ac5ef4521,1014,6,1,2010-02,2026-07
固定资产投资（不含农户）,db6ca534797b4a2c80a9078a2866cff1,2183,12,1,2010-02,2026-07
工业主要产品产量及增长速度,8c256a820cc34fc08eb4726a91ea7401,12219,100,1,2010-01,2026-07
工业分大类行业增加值增长速度,074a01d61f1d4fb4a129e602bdd91781,5392,42,1,2010-02,2026-07
工业增加值增速,0624a707cf934347ae9e2f6985b0e498,984,9,1,2010-02,2026-07
工业生产者购进价格指数,bb108abc266a43e28a216847c1c3b814,3000,20,1,2010-01,2026-07
房地产开发投资,d4ea5adf5fe645689a0028a39ecdc455,614,5,1,2010-02,2026-07
按登记注册类型分的固定资产投资（不含农户）情况,ecea47769ca14734a593f4106ce1b86f,3831,24,1,2010-02,2026-07
社会消费品零售总额,39b254feba05423d8ba72c28f633f343,875,5,1,2010-01,2026-07
累计全国及36个大中城市居民消费价格分类指数(上年同期=100)(2016-),d5440068199143b7b9dc6f0076006312,336,4,1,2010-01,2026-07
能源产品产量,467a0c067f7f45858080900cf3289cd2,2244,22,1,2010-01,2026-07
邮电业务量完成情况,b81173b5a821488f820d134cdc13b73a,2176,22,1,2010-01,2026-06
限额以上企业（单位）商品零售类值,e4269df4399e43af9ceee39b9c75137a,2625,21,1,2010-01,2026-07
